Date of Download: 2021-05-22_20:02:28,,,,,,,,,,,,,,,,,,,,,,,,
Search Parameters: metadata,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
studyDbId,studyName,studyDescription,trialType,breedingProgramDbId,breedingProgramName,breedingProgramDescription,studyYear,studyDesign,locationDbId,locationName,plantingDate,harvestDate,plotWidth,plotLength,plantsPerPlot,numberBlocks,numberReps,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,folderDbId,folderName,folderDescription,managementFactors
3300,17.GS.C2.setA.UYT.36.AG,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39
",Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2017,RCBD,196,Ago-Owu,2017-August-31,2018-July-13,6,5.5,,3,3,0.36288,,,3156,17_Ago-Owu,, No ManagementFactor: 
4484,17.GS.C2.setA.UYT.36.IB,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39 ",,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,3,Ibadan,2017-September-08,,6,5.5,,3,3,0.36288,no,no,3065,17_Ibadan,, No ManagementFactor: 
3302,17.GS.C2.setA.UYT.36.IK,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ikenne selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39
",Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2017,RCBD,32,Ikenne,2017-August-25,2018-August-30,6,5.5,,11,3,0.36288,,,3094,17_Ikenne,, No ManagementFactor: 
3304,17.GS.C2.setA.UYT.36.MK,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Mokwa selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39
",Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2017,RCBD,8,Mokwa,2017-August-22,2018-September-09,6,5.5,,11,3,0.36288,,,3106,17_Mokwa,, No ManagementFactor: 
3301,17.GS.C2.setB.UYT.36.AG,"Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Ago-Owu selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C2.AYT14,GS.C1.ungenotype.AYT21 AND AYT39
",Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2017,RCBD,196,Ago-Owu,2017-August-31,2018-July-13,6,5.5,,3,3,0.36288,,,3156,17_Ago-Owu,, No ManagementFactor: 
3303,17.GS.C2.setB.UYT.36.IK,"Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Ikenne selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39
",Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2017,RCBD,32,Ikenne,2017-August-25,2018-August-30,6,5.5,,3,3,0.36288,,,3094,17_Ikenne,, No ManagementFactor: 
3305,17.GS.C2.setB.UYT.36.MK,"Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Mokwa selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39
",Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2017,RCBD,8,Mokwa,2017-August-22,2018-September-07,6,5.5,,3,3,0.36288,,,3106,17_Mokwa,, No ManagementFactor: 
4331,18.GS.C2.UYT.36.setA.AG,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu for 2018-19 breeding season selected from 2016-2017.GS.C2.AYT'S,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,196,Ago-Owu,2018-June-22,2019-June-22,6,5.5,,3,3,0.36288,no,no,3819,18_Ago-Owu,, No ManagementFactor: 
4332,18.GS.C2.UYT.36.setB.AG,Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Ago-Owu for 2018-19 breeding season selected from 2016-2017.GS.C2.AYT'S,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,196,Ago-Owu,2018-June-23,2019-June-23,6,5.5,,3,3,0.36288,no,no,3819,18_Ago-Owu,, No ManagementFactor: 
4373,18.GS.C2.setA.UYT.36.IB,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan for 2018-19 breeding season ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,3,Ibadan,2018-July-19,2019-July-05,6,5.5,,3,3,0.4536,no,no,3629,18_Ibadan,, No ManagementFactor: 
4348,18.GS.C2.setA.UYT.36.IK,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ikenne for 2018-19 breeding season ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,32,Ikenne,2018-June-18,2019-June-18,6,5.5,,9,3,0.36288,no,no,4194,18_Ikenne,, No ManagementFactor: 
4363,18.GS.C2.setA.UYT.36.KN,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Kano for 2018-19 breeding season ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,18,Kano,2018-July-16,2019-July-16,6,5.5,,11,3,0.4536,no,no,4362,18_Kano,, No ManagementFactor: 
4365,18.GS.C2.setA.UYT.36.MK,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Mokwa for 2018-19 breeding season ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,8,Mokwa,2018-June-15,2019-June-15,6,5.5,,9,3,0.4536,no,no,4101,18_Mokwa,, No ManagementFactor: 
4335,18.GS.C2.setA.UYT.36.ON,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Onne for 2018-19 breeding season ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,9,Onne,2018-April-28,2019-April-28,6,5.5,,9,3,0.4536,no,no,4334,18_Onne,, No ManagementFactor: 
4338,18.GS.C2.setA.UYT.36.OT,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Otobi for 2018-19 breeding season ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,16,Otobi,2018-July-18,2019-July-18,6,5.5,,11,3,0.4536,no,no,4337,18_Otobi,, No ManagementFactor: 
4345,18.GS.C2.setA.UYT.36.UM,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Umudike for 2018-19 breeding season ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,12,Umudike,2018-July-28,2019-July-28,6,5.5,,11,3,0.4536,no,no,4344,18_Umudike,, No ManagementFactor: 
4374,18.GS.C2.setB.UYT.36.IB,Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Ibadan for 2018-19 breeding season ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,3,Ibadan,2018-January-21,2019-January-21,6,5.5,,3,3,0.4536,no,no,3629,18_Ibadan,, No ManagementFactor: 
4349,18.GS.C2.setB.UYT.36.IK,Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Ikenne for 2018-19 breeding season ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,32,Ikenne,2018-June-07,2019-June-18,6,5.5,,9,3,0.36288,no,no,4194,18_Ikenne,, No ManagementFactor: 
4364,18.GS.C2.setB.UYT.36.KN,Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Kano for 2018-19 breeding season ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,18,Kano,2018-July-16,2019-July-16,6,5.5,,9,3,0.4536,no,no,4362,18_Kano,, No ManagementFactor: 
4366,18.GS.C2.setB.UYT.36.MK,Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Mokwa for 2018-19 breeding season ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,8,Mokwa,2018-January-16,2019-January-16,6,5.5,,9,3,0.4536,no,no,4101,18_Mokwa,, No ManagementFactor: 
4336,18.GS.C2.setB.UYT.36.ON,Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Onne for 2018-19 breeding season ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,9,Onne,2018-April-28,2019-April-28,6,5.5,,9,3,0.4536,no,no,4334,18_Onne,, No ManagementFactor: 
4340,18.GS.C2.setB.UYT.36.OT,Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Otobi for 2018-19 breeding season ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,16,Otobi,2018-July-18,2019-July-18,6,5.5,,9,3,0.4536,no,no,4337,18_Otobi,, No ManagementFactor: 
4346,18.GS.C2.setB.UYT.36.UM,Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Umudike for 2018-19 breeding season ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2018,Alpha,12,Umudike,2018-July-28,2019-July-28,6,5.5,,9,3,0.4536,no,no,4344,18_Umudike,, No ManagementFactor: 
6612,19.GS.C2.UYT.36.setA.AB,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Abuja for 2019-20 breeding season from 2016gensel.c2.ayts.AB,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2019,RCBD,35,Abuja,2019-June-19,2020-July-28,2,4,,6,2,0.058,no,no,6258,19_Abuja,, No ManagementFactor: 
6636,19.GS.C2.UYT.36.setA.AG,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-owu for 2019-20 breeding season from 2016gensel.c2.ayts.AG,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2019,Alpha,196,Ago-Owu,2019-June-01,2020-June-01,2,4,,6,2,0.058,no,no,6454,19_Ago-Owu,, No ManagementFactor: 
6631,19.GS.C2.UYT.36.setA.IB,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan for 2019-20 breeding season from 2016gensel.c2.ayts.IB,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2019,Alpha,3,Ibadan,2019-May-16,2020-April-20,2,4,,6,2,0.058,no,no,5478,19_Ibadan,, No ManagementFactor: 
6626,19.GS.C2.UYT.36.setA.IK,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ikenne for 2019-20 breeding season from 2016gensel.c2.ayts.IK,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2019,Alpha,32,Ikenne,2019-June-01,2020-June-15,2,4,,6,2,0.058,no,no,6227,19_Ikenne,, No ManagementFactor: 
6621,19.GS.C2.UYT.36.setA.MK,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Mokwa for 2019-20 breeding season from ,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2019,RCBD,8,Mokwa,2019-June-27,2020-June-27,2,4,,6,2,0.058,no,no,6231,19_Mokwa,, No ManagementFactor: 
6615,19.GS.C2.UYT.36.setA.ON,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Onne for 2019-20 breeding season 2016.gs.c2.ayts.AG
",Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2019,Alpha,9,Onne,2019-April-10,2020-July-28,2,4,,6,2,0.058,no,no,6016,19_Onne,, No ManagementFactor: 
6605,19.GS.C2.UYT.36.setA.UB,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ubiaja for 2019-20 breeding season from 2016gensel.c2.ayts.UB,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2019,Alpha,5,Ubiaja,2019-June-01,2020-June-04,2,4,,6,2,0.058,no,no,6000,19_Ubiaja,, No ManagementFactor: 
6732,19.GS.C2.UYT.36.setA.ZA,Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Zaria for 2019-20 breeding season,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2019,Alpha,6,Zaria,2019-June-24,2020-August-04,2,4,,2,2,0.058,no,no,6260,19_Zaria,, No ManagementFactor: 
6613,19.GS.C2.UYT.36.setB.AB,Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Abuja for 2019-20 breeding season from 2016gensel.c2.ayts.AB,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2019,Alpha,35,Abuja,2019-June-19,2020-July-30,2,4,,6,2,0.058,no,no,6258,19_Abuja,, No ManagementFactor: 
6637,19.GS.C2.UYT.36.setB.AG,Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Ago-owu for 2019-20 breeding season from 2016gensel.c2.ayts.AG,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2019,Alpha,196,Ago-Owu,2019-June-01,2020-June-24,2,4,,6,2,0.058,no,no,6454,19_Ago-Owu,, No ManagementFactor: 
6632,19.GS.C2.UYT.36.setB.IB,Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Ibadan for 2019-20 breeding season from 2016gensel.c2.ayts.IB,Uniform Yield Trial,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",2019,RCBD,3,Ibadan,2019-May-16,2020-April-28,2,4,,6,2,0.058,no,no,5478,19_Ibadan,, No ManagementFactor: 
