studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,plantedSeedlotStockDbId,plantedSeedlotStockUniquename,plantedSeedlotCurrentCount,plantedSeedlotCurrentWeightGram,plantedSeedlotBoxName,plantedSeedlotTransactionCount,plantedSeedlotTransactionWeight,plantedSeedlotTransactionDescription,availableGermplasmSeedlotUniquenames,L chromometer value|CO_334:0002065,a chromometer value|CO_334:0002066,apical pubescence visual rating 0-2|CO_334:0000309,b chromometer value|CO_334:0002064,branching level counting|CO_334:0000079,cassava bacterial blight incidence 3-month evaluation|CO_334:0000178,cassava bacterial blight severity 3-month evaluation|CO_334:0000175,cassava green mite severity first evaluation|CO_334:0000189,cassava green mite severity second evaluation|CO_334:0000190,cassava mosaic disease incidence 1-month evaluation|CO_334:0000195,cassava mosaic disease incidence 3-month evaluation|CO_334:0000196,cassava mosaic disease severity 1-month evaluation|CO_334:0000191,cassava mosaic disease severity 3-month evaluation|CO_334:0000192,central leaf shape visual rating 1-10|CO_334:0000119,dry matter content by specific gravity method|CO_334:0000160,dry matter content percentage|CO_334:0000092,dry yield|CO_334:0000014,ease of peeling root cortex visual rating 1-3|CO_334:0000308,first apical branch height measurement in cm|CO_334:0000106,first fully expanded leaf color visual rating 1-9|CO_334:0000102,fresh root yield|CO_334:0000013,fresh shoot weight measurement in kg per plot|CO_334:0000016,fresh storage root weight per plot|CO_334:0000012,fufu dry weight in kg|CO_334:0002019,fufu fibre weight in g|CO_334:0002016,fufu initial weight in kg|CO_334:0002013,fufu peel weight in kg|CO_334:0002014,fufu peeled root weight in kg|CO_334:0002015,fufu pressed weight in kg|CO_334:0002018,gari fried weight in kg|CO_334:0002026,gari initial weight in kg|CO_334:0002020,gari mash weight in kg|CO_334:0002023,gari peel weight in kg|CO_334:0002021,gari peeled root weight in kg|CO_334:0002022,gari pressed weight in kg|CO_334:0002024,gari pulverised weight in kg|CO_334:0002025,gari shaft coarse weight in g|CO_334:0002027,gari shaft medium weight in g|CO_334:0002028,harvest index variable|CO_334:0000015,initial vigor assessment 1-7|CO_334:0000009,petiole color visual rating 1-9|CO_334:0000023,plant architecture visual rating 1-5|CO_334:0000099,plant height measurement in cm|CO_334:0000018,plant stands harvested counting|CO_334:0000010,root evaluation scaled 1-5|CO_334:0000228,root neck length visual rating 0-7|CO_334:0000022,root number counting|CO_334:0000011,root weight in air|CO_334:0000157,root weight in water|CO_334:0000158,rotted storage root counting|CO_334:0000084,specific gravity|CO_334:0000163,sprout count at one-month|CO_334:0000213,sprout count at three-month|CO_334:0000214,sprouting proportion|CO_334:0000008,starch content percentage|CO_334:0000071,staygreen visual scale 1-9|CO_334:0000224,storage root cortex color visual rating 1-4|CO_334:0000115,storage root periderm color visual rating 1-4|CO_334:0000064,storage root pulp color visual rating 1-3|CO_334:0000021,storage root shape visual rating 1-6|CO_334:0000020,storage root size visual rating 1-7|CO_334:0000019,total carotenoid by chart 1-8|CO_334:0000161,unexpanded apical leaf color visual rating 1-9|CO_334:0000101,notes
2017,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",3300,17.GS.C2.setA.UYT.36.AG,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39",RCBD,6,5.5,0.36288,,,2017-August-31,2018-July-13,196,Ago-Owu,1936,IITA-TMS-IBA000070,,plot,690637,2018-17.GS.C2.setA.UYT.36.AG-rep1-IITA-TMS-IBA000070_119,1,1,119,,,check,,,,,,,,,,,89.905,0.385,0,18.765,1,1,2,,,0,0,1,1,5,,30,,1,91,5,,45,68,,,,,,,,,,,,,,,,,7,9,3,187.67,20,,3,120,,,0,,42,42,,,2,1,3,1,2,5,1,5," (Operator: PVNSPRASAD, Time: )"
2017,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",3300,17.GS.C2.setA.UYT.36.AG,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39",RCBD,6,5.5,0.36288,,,2017-August-31,2018-July-13,196,Ago-Owu,5,IITA-TMS-IBA30572,,plot,690582,2018-17.GS.C2.setA.UYT.36.AG-rep1-IITA-TMS-IBA30572_121,1,1,121,,,check,,,,,,,,,,,90.585,0.57,0,18.9,3,1,2,,,0.21,0.15,4,3,5,,31,,1,37,3,,62.5,42.5,,,,,,,,,,,,,,,,,5,5,1,233.33,10,,3,56,,,0,,42,34,,,2,1,3,1,2,5,1,7," (Operator: PVNSPRASAD, Time: )"
2017,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",3300,17.GS.C2.setA.UYT.36.AG,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39",RCBD,6,5.5,0.36288,,,2017-August-31,2018-July-13,196,Ago-Owu,723,IITA-TMS-IBA980581,,plot,690678,2018-17.GS.C2.setA.UYT.36.AG-rep1-IITA-TMS-IBA980581_108,1,1,108,,,check,,,,,,,,,,,91.29,0.1,1,19.64,0,0.9,2,,,0,0,1,1,5,,33,,1,0,3,,58.5,44,,,,,,,,,,,,,,,,,7,9,4,240,20,,3,55,,,0,,42,42,,,3,1,2,1,2,5,1,3," (Operator: PVNSPRASAD, Time: )"
2017,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",3300,17.GS.C2.setA.UYT.36.AG,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39",RCBD,6,5.5,0.36288,,,2017-August-31,2018-July-13,196,Ago-Owu,725,IITA-TMS-IBA982101,,plot,690601,2018-17.GS.C2.setA.UYT.36.AG-rep1-IITA-TMS-IBA982101_120,1,1,120,,,check,,,,,,,,,,,92.555,0.08,1,18.585,2,1,2,,,0,0,1,1,5,,33,,1,18.67,3,,58.5,43,,,,,,,,,,,,,,,,,7,9,1,188.33,20,,3,98,,,0,,42,42,,,2,1,3,1,2,5,1,5," (Operator: PVNSPRASAD, Time: )"
2017,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",3300,17.GS.C2.setA.UYT.36.AG,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39",RCBD,6,5.5,0.36288,,,2017-August-31,2018-July-13,196,Ago-Owu,39671,TMEB419,,plot,690666,2018-17.GS.C2.setA.UYT.36.AG-rep1-TMEB419_123,1,1,123,,,check,,,,,,,,,,,90.855,0.555,0,16.915,0,1,2,,,0.11,0,2,1,5,,35,,1,0,5,,56.5,51.5,,,,,,,,,,,,,,,,,5,3,4,273.33,18,,3,97,,,0,,37,41,,,2,1,3,1,2,5,1,5," (Operator: PVNSPRASAD, Time: )"
2017,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",3300,17.GS.C2.setA.UYT.36.AG,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39",RCBD,6,5.5,0.36288,,,2017-August-31,2018-July-13,196,Ago-Owu,122888,TMS13F1021P0008,,plot,690647,2018-17.GS.C2.setA.UYT.36.AG-rep1-TMS13F1021P0008_130,1,1,130,,,test,,,,,,,,,,,91.895,-0.05,1,19.405,2,1,2,,,0,0,1,1,5,,31,,1,179,5,,45.5,55,,,,,,,,,,,,,,,,,7,7,3,238.33,20,,3,72,,,0,,37,37,,,2,1,3,1,2,5,1,5," (Operator: PVNSPRASAD, Time: )"
2017,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",3300,17.GS.C2.setA.UYT.36.AG,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39",RCBD,6,5.5,0.36288,,,2017-August-31,2018-July-13,196,Ago-Owu,122934,TMS13F1114P0001,,plot,690663,2018-17.GS.C2.setA.UYT.36.AG-rep1-TMS13F1114P0001_122,1,1,122,,,test,,,,,,,,,,,88.72,0.63,0,20.02,2,1,2,,,0,0,1,1,5,,31,,1,68.33,5,,58.5,53.5,,,,,,,,,,,,,,,,,7,5,3,216.67,20,,3,115,,,0,,41,39,,,2,1,3,1,2,5,1,5," (Operator: PVNSPRASAD, Time: )"
2017,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",3300,17.GS.C2.setA.UYT.36.AG,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39",RCBD,6,5.5,0.36288,,,2017-August-31,2018-July-13,196,Ago-Owu,122958,TMS13F1182P0002,,plot,690606,2018-17.GS.C2.setA.UYT.36.AG-rep1-TMS13F1182P0002_131,1,1,131,,,test,,,,,,,,,,,88.92,1.7,0,34.58,1,1,2,,,0,0,1,1,5,,30,,1,58.33,5,,55,61,,,,,,,,,,,,,,,,,7,7,1,225,20,,3,95,,,0,,41,38,,,3,1,2,2,2,5,2,5," (Operator: PVNSPRASAD, Time: )"
2017,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",3300,17.GS.C2.setA.UYT.36.AG,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39",RCBD,6,5.5,0.36288,,,2017-August-31,2018-July-13,196,Ago-Owu,123010,TMS13F1461P0002,,plot,690625,2018-17.GS.C2.setA.UYT.36.AG-rep1-TMS13F1461P0002_112,1,1,112,,,test,,,,,,,,,,,90.455,-0.13,0,18.295,3,1,2,,,0,0,1,1,5,,36,,1,40,5,,65.5,58,,,,,,,,,,,,,,,,,5,5,1,205,20,,3,75,,,0,,42,42,,,2,1,3,1,2,5,1,7," (Operator: PVNSPRASAD, Time: )"
2017,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",3300,17.GS.C2.setA.UYT.36.AG,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39",RCBD,6,5.5,0.36288,,,2017-August-31,2018-July-13,196,Ago-Owu,123024,TMS13F2061P0005,,plot,690608,2018-17.GS.C2.setA.UYT.36.AG-rep1-TMS13F2061P0005_111,1,1,111,,,test,,,,,,,,,,,90.05,1.49,0,33,1,0.82,2,,,0,0.21,1,2,5,,32,,1,87.33,5,,53.5,40.5,,,,,,,,,,,,,,,,,5,7,3,238.33,20,,3,70,,,0,,41,39,,,2,1,3,2,2,5,2,5," (Operator: PVNSPRASAD, Time: )"
2017,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",3300,17.GS.C2.setA.UYT.36.AG,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39",RCBD,6,5.5,0.36288,,,2017-August-31,2018-July-13,196,Ago-Owu,123093,TMS13F2207P0001,,plot,690685,2018-17.GS.C2.setA.UYT.36.AG-rep1-TMS13F2207P0001_105,1,1,105,,,test,,,,,,,,,,,93.185,0.065,1,20.54,3,1,2,,,0,0,1,1,5,,34,,1,105,3,,60.5,66.5,,,,,,,,,,,,,,,,,5,9,3,255,20,,3,80,,,0,,38,32,,,2,1,3,1,2,5,1,5," (Operator: PVNSPRASAD, Time: )"
2017,162,IITA,"IITA cassava breeding program, Ibadan, Nigeria",3300,17.GS.C2.setA.UYT.36.AG,"Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39",RCBD,6,5.5,0.36288,,,2017-August-31,2018-July-13,196,Ago-Owu,58215,TMS14F1001P0004,,plot,690667,2018-17.GS.C2.setA.UYT.36.AG-rep1-TMS14F1001P0004_113,1,1,113,,,test,,,,,,,,,,,88.76,2.805,0,35.975,2,1,2,,,0,0,1,1,5,,34,,1,78.33,5,,55,68.5,,,,,,,,,,,,,,,,,7,7,3,240,20,,3,85,,,0,,42,38,,,2,1,3,2,2,5,2,7," (Operator: PVNSPRASAD, Time: )"
